# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	808455
#@/user_id	Mac
ai qing 	愛情	c=27 d=1.01959 t=808443
ai qing gu shi 	愛情故事	c=1 d=1.6996e-269 t=808443
ai qing jiu xiang 	愛情就像	c=1 d=4.20322e-10 t=808443
ai qing pian 	愛情片	c=3 d=2.00842e-57 t=808443
ai qing shen hua 	爱情神话	c=1 d=0 t=808443
ai ru chao shui 	爱如潮水	c=8 d=2.69763e-20 t=808443
ai shang 	愛上	c=3 d=1.18168e-09 t=808443
ai shang wo 	愛上我	c=2 d=2.40092e-10 t=808443
ai shei shei 	爱谁谁	c=1 d=7.37853e-42 t=808443
ai shi 	礙事	c=2 d=0 t=808443
ai shuo 	愛說	c=0 d=0 t=808443
ai shuo bu shuo 	愛說不說	c=1 d=0 t=808443
ai te 	爱特	c=2 d=1.61406e-191 t=808443
ai te 	艾特	c=5 d=1.36412e-06 t=808443
ai ting 	愛聽	c=2 d=7.3318e-174 t=808443
ai wan 	愛玩	c=2 d=1.41836e-141 t=808443
ai wo 	愛我	c=1 d=0 t=808443
ai xi 	愛惜	c=1 d=1.62583e-12 t=808443
ai xi 	艾希	c=1 d=0 t=808443
ai xin 	愛心	c=10 d=5.35244e-30 t=808443
ai ya 	哎呀	c=2 d=2.44268e-07 t=808443
ai ya 	唉呀	c=10 d=0 t=808443
ai yi 	愛意	c=2 d=4.00018e-192 t=808443
ai yi ge 	愛一個	c=3 d=5.12144e-11 t=808443
ai yo 	哎唷	c=1 d=6.07751e-54 t=808443
ai yu zi you 	愛與自由	c=0 d=0.0778801 t=808443
ai za za 	愛咋咋	c=1 d=0 t=808443
ai zhe 	挨着	c=3 d=7.02487e-23 t=808443
ai zhe ni 	愛着你	c=0 d=3.08939e-271 t=808443
ai zheng 	癌症	c=4 d=0.000428594 t=808443
ai zhuang bi 	愛裝逼	c=1 d=6.24011e-188 t=808443
ai zi 	矮子	c=9 d=5.39141e-175 t=808443
ai zi 	艾滋	c=1 d=1.18844e-266 t=808443
ai zi li 	矮子裏	c=1 d=5.41843e-174 t=808443
ai zi li mian 	矮子裏面	c=1 d=0 t=808443
ai zong 	艾總	c=18 d=5.06757e-63 t=808443
ai zou 	捱揍	c=24 d=1.02442e-166 t=808443
an 	俺	c=3 d=2.95935e-29 t=808443
an 	安	c=31 d=1.21378e-44 t=808443
an 	岸	c=3 d=1.02069e-35 t=808443
an 	按	c=347 d=1.31542 t=808443
an 	暗	c=12 d=5.11332e-198 t=808443
an an 	安安	c=1 d=0 t=808443
an an 	暗暗	c=2 d=0 t=808443
an an fen fen 	安安分分	c=1 d=0 t=808443
an an jing jing 	安安靜靜	c=3 d=0 t=808443
an an wen wen 	安安穩穩	c=1 d=1.27759e-176 t=808443
